1,u'lamb heart', u'lamb'
1,u'malt vinegar', u'malt', u'vinegar'
1,u'champagne vinegar', u'champagne', u'vinegar'
1,u'rabbit liver', u'rabbit', u'liver'
1,u'pork tripe', u'pork', u'tripe'
1,u'pork leg', u'pork', u'leg'
1,u'quahog clam', u'quahog', u'clam'
1,u'burger bun', u'burger', u'bun'
1,u'egg mayonnaise', u'egg', u'mayonnaise'
1,u'chicken mince', u'chicken', u'mince'
1,u'gorgonzola cheese', u'gorgonzola', u'cheese'
1,u'roast chicken', u'roast', u'chicken'
1,u'beef porterhouse', u'beef', u'porterhouse'
1,u'frankfurter sausage', u'frankfurter', u'sausage'
1,u'rosemary honey', u'rosemary', u'honey'
1,u'bream roe', u'bream', u'roe'
1,u'salad mix', u'salad', u'mix'
1,u'gem lettuce', u'gem', u'lettuce'
1,u'rock shrimp', u'shrimp'
1,u'pastry pie', u'pastry', u'pie'
1,u'veal scallop', u'veal', u'scallop'
1,u'chocolate drink', u'chocolate'
1,u'chicken heart', u'chicken'
1,u'almond milk', u'almond', u'milk'
1,u'apricot paste', u'apricot', u'paste'
1,u'rye flour', u'rye', u'flour'
1,u'pear brandy', u'pear', u'brandy'
1,u'truffle paste', u'truffle', u'paste'
1,u'hazelnut liqueur', u'hazelnut', u'liqueur'
1,u'loin chop', u'loin'
1,u'muenster cheese', u'muenster', u'cheese'
1,u'rock tea', u'tea'
1,u'chicken sausage', u'chicken', u'sausage'
1,u'duck ham', u'duck', u'ham'
1,u'vegetable broth', u'vegetable', u'broth'
1,u'chorizo sausage', u'chorizo', u'sausage'
1,u'lamb tongue', u'lamb'
1,u'chicken tenderloin', u'chicken', u'tenderloin'
1,u'peach nectar', u'peach', u'nectar'
1,u'quail egg', u'quail', u'egg'
1,u'game hen', u'hen'
1,u'pancake mix', u'pancake', u'mix'
1,u'phyllo pastry', u'phyllo', u'pastry'
1,u'beef rump', u'beef', u'rump'
1,u'green cherry', u'cherry'
1,u'almond flour', u'almond', u'flour'
1,u'veal mince', u'veal', u'mince'
1,u'shrimp soup', u'shrimp', u'soup'
1,u'apricot brandy', u'apricot', u'brandy'
1,u'mullet roe', u'mullet', u'roe'
1,u'apple banana', u'apple', u'banana'
1,u'meat stock', u'meat'
1,u'emmental cheese', u'emmental', u'cheese'
1,u'asparagus soup', u'asparagus', u'soup'
1,u'green garlic', u'garlic'
1,u'seltzer water', u'seltzer'
1,u'lobster stock', u'lobster'
1,u'quince paste', u'quince', u'paste'
1,u'tabasco chipotle', u'tabasco', u'chipotle'
1,u'muscatel wine', u'muscatel', u'wine'
1,u'green bacon', u'bacon'
1,u'rice vermicelli', u'rice', u'vermicelli'
1,u'blanc sausage', u'blanc', u'sausage'
1,u'grenadine syrup', u'grenadine', u'syrup'
1,u'corn tortilla', u'corn', u'tortilla'
1,u'beef marrow', u'beef', u'marrow'
1,u'onion squash', u'onion', u'squash'
1,u'lamb forequarter', u'lamb', u'forequarter'
1,u'shrimp stock', u'shrimp'
1,u'anise liqueur', u'anise', u'liqueur'
1,u'sour mix', u'mix'
1,u'kosher salt', u'kosher', u'salt'
1,u'sweet onion', u'sweet', u'onion'
1,u'green lentil', u'lentil'
1,u'pear nectar', u'pear', u'nectar'
1,u'avocado oil', u'avocado', u'oil'
1,u'madeira wine', u'madeira', u'wine'
1,u'venison chop', u'venison'
1,u'mustard sprout', u'mustard', u'sprout'
1,u'chickpea flour', u'chickpea', u'flour'
1,u'dog bun', u'bun'
1,u'cockle clam', u'cockle', u'clam'
1,u'turkey stock', u'turkey'
1,u'pumpkin squash', u'pumpkin', u'squash'
1,u'beef mince', u'beef', u'mince'
1,u'chipotle pepper', u'chipotle', u'pepper'
1,u'sweet sausage', u'sweet', u'sausage'
1,u'monkfish liver', u'monkfish', u'liver'
1,u'pork schnitzel', u'pork', u'schnitzel'
1,u'chile paste', u'chile', u'paste'
1,u'tuna loin', u'tuna', u'loin'
1,u'spaghettini pasta', u'spaghettini', u'pasta'
1,u'tagliatelle pasta', u'tagliatelle', u'pasta'
1,u'cherry syrup', u'cherry', u'syrup'
1,u'anchovy oil', u'anchovy', u'oil'
1,u'apple liqueur', u'apple', u'liqueur'
1,u'green cabbage', u'cabbage'
1,u'rice vinegar', u'rice', u'vinegar'
1,u'walnut liqueur', u'walnut', u'liqueur'
1,u'rice flour', u'rice', u'flour'
1,u'sweet paprika', u'sweet', u'paprika'
1,u'camembert cheese', u'camembert', u'cheese'
1,u'pickle juice', u'pickle', u'juice'
1,u'lamb rib', u'lamb', u'rib'
1,u'meat sauce', u'meat', u'sauce'
1,u'macaroni pasta', u'macaroni', u'pasta'
1,u'tart apple', u'tart', u'apple'
1,u'sherry vinegar', u'sherry', u'vinegar'
1,u'peach liqueur', u'peach', u'liqueur'
1,u'daikon radish', u'daikon', u'radish'
1,u'truffle oil', u'truffle', u'oil'
1,u'soup mix', u'soup', u'mix'
1,u'cocktail onion', u'cocktail', u'onion'
1,u'swordfish steak', u'swordfish', u'steak'
1,u'lamb shoulder', u'lamb', u'shoulder'
1,u'truffle juice', u'truffle', u'juice'
1,u'cream sherry', u'cream', u'sherry'
1,u'roquefort cheese', u'roquefort', u'cheese'
1,u'amontillado sherry', u'amontillado', u'sherry'
1,u'peach brandy', u'peach', u'brandy'
1,u'venison loin', u'venison', u'loin'
1,u'fish stock', u'fish'
1,u'pork hock', u'pork', u'hock'
1,u'couverture chocolate', u'couverture', u'chocolate'
1,u'green orach', u'orach'
1,u'green chilli', u'chilli'
1,u'citron vodka', u'citron', u'vodka'
1,u'napa cabbage', u'napa', u'cabbage'
1,u'pork mince', u'pork', u'mince'
1,u'pork offal', u'pork', u'offal'
1,u'breakfast sausage', u'breakfast', u'sausage'
1,u'rioja wine', u'rioja', u'wine'
1,u'amaranth green', u'amaranth'
1,u'green apple', u'apple'
1,u'haricot blanc', u'haricot', u'blanc'
1,u'lamb stock', u'lamb'
1,u'rabbit rib', u'rabbit', u'rib'
1,u'beef sirloin', u'beef', u'sirloin'
1,u'turkey mince', u'turkey', u'mince'
1,u'lemon rum', u'lemon', u'rum'
1,u'onion soup', u'onion', u'soup'
1,u'liquorice paste', u'liquorice', u'paste'
1,u'corn flour', u'corn', u'flour'
1,u'green walnut', u'walnut'
1,u'vegetable bouillon', u'vegetable', u'bouillon'
1,u'duck liver', u'duck', u'liver'
1,u'almond meal', u'almond', u'meal'
1,u'green almond', u'almond'
1,u'bread flour', u'bread', u'flour'
1,u'apple brandy', u'apple', u'brandy'
1,u'vanilla sugar', u'vanilla', u'sugar'
1,u'cod roe', u'cod', u'roe'
1,u'raspberry liqueur', u'raspberry', u'liqueur'
1,u'raspberry vinegar', u'raspberry', u'vinegar']
2,u'sprout', u'stock'
2,u'cheddar', u'cheddar_cheese'
2,u'pops', u'soda'
2,u'chickpea', u'garbanzo'
2,u'artichoke', u'globe_artichoke'
2,u'calamari', u'squid'
2,u'pimiento', u'sweet_pepper'
2,u'cilantro', u'coriander'
2,u'cayenne', u'cayenne_pepper'
2,u'aubergine', u'eggplant'
2,u'endive', u'escarole'
2,u'sage', u'salvia'
2,u'bream', u'sea_bream'
2,u"farmer's_cheese", u'pot_cheese'
2,u'coriander', u'coriander_seed'
2,u'cocoa', u'drinking_chocolate'
2,u'coconut_milk', u'coconut_water'
2,u'chicken_broth', u'chicken_stock'
2,u'cumin', u'cumin_seed'
2,u'courgette', u'zucchini'
2,u'gammon', u'ham'
2,u'egg_white', u'white'
2,u'beef_broth', u'beef_stock'
2,u'lager', u'lager_beer'
2,u'hare', u'rabbit'
2,u'prawn', u'shrimp'
2,u'escargot', u'snail'
2,u'port', u'port_wine'
2,u'cayenne_pepper', u'red_pepper'
2,u'anise_seed', u'aniseed'
2,u'black_pudding', u'blood_sausage'
2,u'rock_lobster', u'spiny_lobster'
2,u'pepper', u'peppercorn'
2,u'wheat', u'wheat_berry'
2,u'bass', u'sea_bass'
2,u'self-raising_flour', u'self-rising_flour'
2,u'mangel-wurzel', u'mangold'
2,u'seville_oranges', u'sour_orange'
2,u'biscuit', u'cooky'
2,u'cob', u'hazelnut'
2,u'bell_pepper', u'paprika'
2,u'soda', u'soda_water'
2,u'marjoram', u'oregano'
2,u'navy_bean', u'white_bean'
2,u'green_onion', u'scallion'
2,u'rockfish', u'striped_bass'
2,u'arugula', u'rocket'
2,u'celeriac', u'celery_root'
2,u'oregano', u'wild_marjoram'
2,u'baking_chocolate', u'cooking_chocolate'
2,u'anise', u'anise_seed'
2,u'licorice', u'liquorice'
2,u'fish fillet', u'fillet'
2,u'bitter_orange', u'seville_oranges'
2,u'scallion', u'spring_onion'
2,u'cos_lettuce', u'romaine_lettuce'
2,u'beet', u'beetroot'
2,u'crab', u'crabmeat'
2,u'yoghurt', u'yogurt'
2,u'milk_powder', u'powdered_milk'
2,u'filet', u'fillet'
2,u'light_cream', u'single_cream'
2,u'bulghur', u'bulgur'
2,u'chocolate', u'cocoa'
2,u'chile', u'chilli'
2,u'butter_bean', u'lima_bean'
2,u'broad_bean', u'fava_bean'
2,u'hard-boiled_egg', u'hard-cooked_egg'
2,u'vanilla', u'vanilla_extract'
2,u'cracker', u'snapper'
2,u'paprika', u'pimento'
2,u'brown_trout', u'salmon_trout'
2,u'whiskey', u'whisky'
2,u'club_soda', u'soda_water'
2,u'groundnut_oil', u'peanut_oil'
2,u'turnip', u'white_turnip'
2,u'irish', u'irish_whiskey'
2,u'soda_water', u'sparkling_water'
2,u'broth', u'stock'
2,u'snap_pea', u'sugar_snap_pea'
2,u'french_beans', u'haricots_verts'
2,u'clove', u'stick'
2,u'cottage_cheese', u"farmer's_cheese"
2,u'chicory', u'curly_endive'
2,u'flageolet', u'haricot'
2,u'leek', u'scallion'
2,u'fenugreek', u'fenugreek_seed'
2,u'oil', u'vegetable_oil'
2,u'dried_milk', u'milk_powder'
2,u'mustard', u'mustard_greens'
2,u'gelatin', u'jelly'
2,u'pimento', u'pimiento'
2,u'chard', u'swiss_chard'
2,u'daikon', u'radish'
2,u'jack mackerel', u'spanish_mackerel'
2,u'crayfish', u'rock_lobster']
3,''
3, u'allspice berry'
3, u'almond flour'
3, u'almond ice'
3, u'almond liqueur'
3, u'almond meal'
3, u'almond milk'
3, u'almond paste'
3, u'amaranth green'
3, u'amontillado sherry'
3, u'anchovy oil'
3, u'anise'
3, u'anise liqueur'
3, u'anise_seed'
3, u'apple banana'
3, u'apple brandy'
3, u'apple cider'
3, u'apple liqueur'
3, u'apple schnapps'
3, u'apricot brandy'
3, u'apricot jam'
3, u'apricot liqueur'
3, u'apricot paste'
3, u'artichoke'
3, u'artichoke'
3, u'arugula'
3, u'asparagus soup'
3, u'aubergine'
3, u'aubergine'
3, u'avocado oil'
3, u'baking_chocolate'
3, u'banana pepper'
3, u'barley flour'
3, u'bass'
3, u'beef brisket'
3, u'beef marrow'
3, u'beef mince'
3, u'beef porterhouse'
3, u'beef rib'
3, u'beef rump'
3, u'beef sausage'
3, u'beef sirloin'
3, u'beef tomato'
3, u'beef_broth'
3, u'beet'
3, u'bell_pepper'
3, u'biscuit'
3, u'bitter_orange'
3, u'bitter_orange'
3, u'black_pudding'
3, u'blanc sausage'
3, u'bratwurst sausage'
3, u'bread flour'
3, u'breakfast radish'
3, u'breakfast sausage'
3, u'bream'
3, u'bream'
3, u'bream roe'
3, u'brie cheese'
3, u'broad_bean'
3, u'broad_bean'
3, u'broth'
3, u'brown_trout'
3, u'buffalo mozzarella'
3, u'bulghur'
3, u'burger bun'
3, u'butter_bean'
3, u'cake flour'
3, u'calamari'
3, u'camembert cheese'
3, u'caper berry'
3, u'cayenne'
3, u'cayenne'
3, u'cayenne'
3, u'cayenne_pepper'
3, u'celeriac'
3, u'celeriac'
3, u'celery soup'
3, u'champagne vinegar'
3, u'champagne wine'
3, u'chard'
3, u'chard'
3, u'chardonnay vinegar'
3, u'cheddar'
3, u'cheese soup'
3, u'cherry syrup'
3, u'cherry vodka'
3, u'chestnut mushroom'
3, u'chicken heart'
3, u'chicken mince'
3, u'chicken sausage'
3, u'chicken tenderloin'
3, u'chicken_broth'
3, u'chickpea'
3, u'chickpea'
3, u'chickpea flour'
3, u'chicory'
3, u'chile'
3, u'chile paste'
3, u'chile pepper'
3, u'chipotle pepper'
3, u'chocolate'
3, u'chocolate chip'
3, u'chocolate drink'
3, u'chorizo sausage'
3, u'cilantro'
3, u'cilantro'
3, u'cinnamon sugar'
3, u'citron vodka'
3, u'citrus vodka'
3, u'clam juice'
3, u'clove'
3, u'clover sprout'
3, u'club_soda'
3, u'cob'
3, u'cockle clam'
3, u'cocktail onion'
3, u'cocoa'
3, u'cocoa paste'
3, u'coconut_milk'
3, u'cod roe'
3, u'coriander'
3, u'corn flour'
3, u'corn tortilla'
3, u'cos_lettuce'
3, u'cos_lettuce'
3, u'cottage_cheese'
3, u'courgette'
3, u'courgette'
3, u'couverture chocolate'
3, u'crab'
3, u'cracker'
3, u'cranberry herbal'
3, u'crayfish'
3, u'crayfish'
3, u'cream liqueur'
3, u'cream sherry'
3, u'cumin'
3, u'curry paste'
3, u'daikon'
3, u'daikon radish'
3, u'dinner roll'
3, u'dog bun'
3, u'dried_milk'
3, u'duck egg'
3, u'duck ham'
3, u'duck leg'
3, u'duck liver'
3, u'duck stock'
3, u'duck tongue'
3, u'eel sauce'
3, u'egg mayonnaise'
3, u'egg_white'
3, u'emmental cheese'
3, u'emperor fish'
3, u'endive'
3, u'escargot'
3, u"farmer's_cheese"
3, u'fenugreek'
3, u'fig jam'
3, u'filet'
3, u'filet'
3, u'filet'
3, u'filet'
3, u'fish broth'
3, u'fish fillet'
3, u'fish roe'
3, u'fish stock'
3, u'flageolet'
3, u'flour tortilla'
3, u'formula vermouth'
3, u'frankfurter beef'
3, u'frankfurter sausage'
3, u'french_beans'
3, u'game hen'
3, u'game stock'
3, u'gammon'
3, u'garlic confit'
3, u'garlic mayonnaise'
3, u'garlic oil'
3, u'garlic sausage'
3, u'garlic sprout'
3, u'gelatin'
3, u'gem lettuce'
3, u'gorgonzola cheese'
3, u'grain barley'
3, u'grain rice'
3, u'grape tomato'
3, u'green almond'
3, u'green apple'
3, u'green bacon'
3, u'green cabbage'
3, u'green cardamom'
3, u'green cherry'
3, u'green chile'
3, u'green chilli'
3, u'green crab'
3, u'green garlic'
3, u'green grape'
3, u'green lentil'
3, u'green orach'
3, u'green papaya'
3, u'green peppercorn'
3, u'green plantain'
3, u'green pumpkin'
3, u'green tomato'
3, u'green walnut'
3, u'green_onion'
3, u'grenadine syrup'
3, u'groundnut_oil'
3, u'guava paste'
3, u'ham broth'
3, u'ham leg'
3, u'ham stock'
3, u'hard-boiled_egg'
3, u'hare'
3, u'haricot blanc'
3, u'hazelnut liqueur'
3, u'hazelnut paste'
3, u'horseradish cream'
3, u'irish'
3, u'irish cream'
3, u'irish oat'
3, u'jack cheese'
3, u'jack mackerel'
3, u'kaffir lime'
3, u'kosher salt'
3, u'lager'
3, u'lamb brain'
3, u'lamb broth'
3, u'lamb forequarter'
3, u'lamb heart'
3, u'lamb leg'
3, u'lamb liver'
3, u'lamb loin'
3, u'lamb rib'
3, u'lamb sausage'
3, u'lamb shoulder'
3, u'lamb stock'
3, u'lamb tongue'
3, u'lamb tripe'
3, u'lasagne pasta'
3, u'leek'
3, u'lemon basil'
3, u'lemon rum'
3, u'lemon vodka'
3, u'lettuce heart'
3, u'licorice'
3, u'licorice'
3, u'light_cream'
3, u'liquorice paste'
3, u'lobster bisque'
3, u'lobster stock'
3, u'loin chop'
3, u'macaroni pasta'
3, u'madeira wine'
3, u'malt vinegar'
3, u'mangel-wurzel'
3, u'manzanilla sherry'
3, u'marjoram'
3, u'marjoram'
3, u'mate tea'
3, u'meat dripping'
3, u'meat sauce'
3, u'meat stock'
3, u'medium grain'
3, u'milk_powder'
3, u'monkfish fillet'
3, u'monkfish liver'
3, u'morello cherry'
3, u'muenster cheese'
3, u'mullet roe'
3, u'muscatel raisin'
3, u'muscatel wine'
3, u'mushroom soup'
3, u'mushroom stock'
3, u'mustard'
3, u'mustard sprout'
3, u'napa cabbage'
3, u'navy_bean'
3, u'oil'
3, u'olive paste'
3, u'onion soup'
3, u'onion squash'
3, u'orange vodka'
3, u'oregano'
3, u'paella rice'
3, u'pancake mix'
3, u'paprika'
3, u'parmesan cheese'
3, u'parsley juice'
3, u'pastry pie'
3, u'pastry tart'
3, u'peach brandy'
3, u'peach juice'
3, u'peach liqueur'
3, u'peach nectar'
3, u'peach schnapps'
3, u'pear brandy'
3, u'pear nectar'
3, u'penne pasta'
3, u'pepper'
3, u'phyllo pastry'
3, u'pickle juice'
3, u'pimento'
3, u'pimento'
3, u'pimiento'
3, u'pomegranate juice'
3, u'pomegranate molasses'
3, u'pops'
3, u'pops cereal'
3, u'pork chop'
3, u'pork dripping'
3, u'pork hock'
3, u'pork leg'
3, u'pork liver'
3, u'pork mince'
3, u'pork offal'
3, u'pork rib'
3, u'pork schnitzel'
3, u'pork shoulder'
3, u'pork sparerib'
3, u'pork tripe'
3, u'port'
3, u'prawn'
3, u'prune plum'
3, u'puff pastry'
3, u'pumpkin squash'
3, u'quahog clam'
3, u'quail egg'
3, u'quince paste'
3, u'rabbit leg'
3, u'rabbit liver'
3, u'rabbit rib'
3, u'raspberry jam'
3, u'raspberry liqueur'
3, u'raspberry vinegar'
3, u'rib chop'
3, u'rice flour'
3, u'rice vermicelli'
3, u'rice vinegar'
3, u'rice wine'
3, u'rioja wine'
3, u'roast chicken'
3, u'rock mussel'
3, u'rock shrimp'
3, u'rock tea'
3, u'rock_lobster'
3, u'rock_lobster'
3, u'rockfish'
3, u'roquefort cheese'
3, u'rosemary honey'
3, u'rye flour'
3, u'saffron gin'
3, u'sage'
3, u'salad mix'
3, u'salmon roe'
3, u'saltine cracker'
3, u'sandwich roll'
3, u'scallion'
3, u'self-raising_flour'
3, u'seltzer water'
3, u'semolina flour'
3, u'seville_oranges'
3, u'seville_oranges'
3, u'shellfish stock'
3, u'sherry vinegar'
3, u'shortbread biscuit'
3, u'shrimp soup'
3, u'shrimp stock'
3, u'simple syrup'
3, u'snap_pea'
3, u'soda'
3, u'soda_water'
3, u'soup mix'
3, u'sour apple'
3, u'sour mix'
3, u'sour plum'
3, u'spaghetti pasta'
3, u'spaghettini pasta'
3, u'split green'
3, u'sprout'
3, u'sushi rice'
3, u'sweet onion'
3, u'sweet paprika'
3, u'sweet sausage'
3, u'sweet sherry'
3, u'swordfish steak'
3, u'tabasco chipotle'
3, u'tagliatelle pasta'
3, u'tamarind paste'
3, u'tangerine juice'
3, u'tarragon vinegar'
3, u'tart apple'
3, u'truffle juice'
3, u'truffle oil'
3, u'truffle paste'
3, u'tuna loin'
3, u'tuna roe'
3, u'turkey liver'
3, u'turkey mince'
3, u'turkey stock'
3, u'turnip'
3, u'vanilla'
3, u'vanilla liqueur'
3, u'vanilla sugar'
3, u'veal chop'
3, u'veal leg'
3, u'veal mince'
3, u'veal scallop'
3, u'veal shoulder'
3, u'veal stock'
3, u'veal tripe'
3, u'vegetable bouillon'
3, u'vegetable broth'
3, u'vegetable stock'
3, u'venison chop'
3, u'venison loin'
3, u'venison mince'
3, u'venison shoulder'
3, u'venison tenderloin'
3, u'vermicelli noodle'
3, u'vermicelli pasta'
3, u'walnut liqueur'
3, u'watermelon radish'
3, u'wheat'
3, u'whiskey'
3, u'yoghurt'

